,ArchiveSize,DE,ElapsedTime,Improvements,NFE,PCX,PopulationSize,Restarts,SBX,SPX,UM,UNDX
0,9,0.166666666667,64.0876770005,12,25,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
1,8,0.166666666667,67.6032250559,13,30,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
2,9,0.166666666667,71.1030842043,16,35,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
3,7,0.166666666667,74.6100117852,18,40,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
4,7,0.166666666667,78.9140172303,18,46,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
5,7,0.166666666667,83.1031715679,18,52,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
6,7,0.166666666667,87.3313056943,19,58,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
7,7,0.166666666667,91.6252995325,19,64,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
8,7,0.166666666667,95.1314172167,19,69,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
9,7,0.166666666667,99.4427478364,21,75,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
10,7,0.166666666667,103.664623873,22,81,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
11,5,0.166666666667,107.199566658,23,86,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
12,5,0.166666666667,110.742977478,23,91,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
13,6,0.166666666667,115.062377646,24,97,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
14,6,0.166666666667,118.716006625,24,102,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
15,6,0.166666666667,122.211560885,24,107,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
16,6,0.166666666667,126.496266541,24,113,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
17,6,0.166666666667,130.046988718,24,118,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
18,6,0.166666666667,134.37590038,24,124,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
19,6,0.166666666667,137.890979079,24,129,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
20,6,0.166666666667,141.417150733,24,134,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
21,7,0.166666666667,145.640636756,25,140,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
22,7,0.166666666667,149.923136034,25,146,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
23,7,0.166666666667,153.453728912,25,151,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
24,7,0.166666666667,157.978607495,25,157,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
25,7,0.166666666667,161.543525819,25,162,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
26,8,0.166666666667,165.099904791,26,167,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
27,7,0.166666666667,169.485760171,27,173,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
28,7,0.166666666667,173.821057403,28,179,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
29,7,0.166666666667,178.014257659,28,185,0.166666666667,25,0,0.166666666667,0.166666666667,0.166666666667,0.166666666667
30,7,0.0769230769231,181.537702318,28,190,0.0769230769231,25,0,0.307692307692,0.153846153846,0.153846153846,0.230769230769
31,9,0.0769230769231,185.107522813,30,195,0.0769230769231,25,0,0.307692307692,0.153846153846,0.153846153846,0.230769230769
32,9,0.0769230769231,188.659162307,30,200,0.0769230769231,25,0,0.307692307692,0.153846153846,0.153846153846,0.230769230769
33,9,0.0769230769231,208.988767531,31,229,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
34,9,0.0769230769231,212.611423421,33,234,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
35,9,0.0769230769231,216.20087533,33,239,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
36,9,0.0769230769231,220.419947261,34,245,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
37,11,0.0769230769231,223.928289598,36,250,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
38,11,0.0769230769231,228.135674857,37,256,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
39,10,0.0769230769231,232.384744167,38,262,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
40,11,0.0769230769231,236.672928768,39,268,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
41,11,0.0769230769231,240.197091058,39,273,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
42,11,0.0769230769231,244.393414564,39,279,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
43,10,0.0769230769231,247.879899942,40,284,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
44,11,0.0769230769231,252.263914444,42,290,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
45,11,0.0769230769231,255.752312462,42,295,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
46,12,0.0769230769231,259.280273288,43,300,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
47,12,0.0769230769231,263.597914148,43,306,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
48,12,0.0769230769231,267.862778004,43,312,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
49,12,0.0769230769231,272.167597357,45,318,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
50,12,0.0769230769231,275.718492924,45,323,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
51,12,0.0769230769231,279.949481078,48,329,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
52,10,0.0769230769231,284.274087852,49,335,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
53,10,0.0769230769231,288.60146664,49,341,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
54,11,0.0769230769231,292.864262294,51,347,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
55,11,0.0769230769231,297.240449727,51,353,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
56,11,0.0769230769231,301.46313878,52,359,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
57,11,0.0769230769231,304.978311082,53,364,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
58,11,0.0769230769231,309.266792987,53,370,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
59,11,0.0769230769231,313.53227864,53,376,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
60,11,0.0769230769231,317.10513725,53,381,0.0769230769231,36,1,0.307692307692,0.153846153846,0.153846153846,0.230769230769
61,11,0.0588235294118,320.630452205,53,386,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
62,11,0.0588235294118,324.159502847,53,391,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
63,11,0.0588235294118,328.379073107,53,397,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
64,11,0.0588235294118,331.912680477,53,402,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
65,11,0.0588235294118,336.147011628,54,408,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
66,11,0.0588235294118,340.35743634,54,414,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
67,12,0.0588235294118,344.743622899,55,420,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
68,12,0.0588235294118,349.015859177,55,426,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
69,12,0.0588235294118,353.289666217,55,432,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
70,12,0.0588235294118,356.79250197,55,437,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
71,13,0.0588235294118,360.338727593,56,442,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
72,13,0.0588235294118,363.821723328,56,447,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
73,13,0.0588235294118,368.064814468,56,453,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
74,12,0.0588235294118,372.250994876,57,459,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
75,12,0.0588235294118,375.79769877,57,464,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
76,12,0.0588235294118,380.043332371,57,470,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
77,12,0.0588235294118,384.320959788,57,476,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
78,12,0.0588235294118,388.560488185,57,482,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
79,12,0.0588235294118,392.078763234,57,487,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
80,12,0.0588235294118,396.332995468,57,493,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
81,11,0.0588235294118,399.794505094,58,498,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
82,13,0.0588235294118,403.326006376,60,503,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
83,14,0.0588235294118,407.551168355,61,509,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
84,14,0.0588235294118,411.79496509,61,515,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
85,14,0.0588235294118,416.025484779,62,521,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
86,15,0.0588235294118,420.30290181,63,527,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
87,15,0.0588235294118,424.510114125,63,533,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
88,15,0.0588235294118,428.733096471,63,539,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
89,15,0.0588235294118,432.319151449,65,544,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
90,15,0.0588235294118,436.548745797,65,550,0.117647058824,36,1,0.294117647059,0.176470588235,0.235294117647,0.117647058824
91,15,0.047619047619,440.125416315,65,555,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
92,15,0.047619047619,443.620933133,66,560,0.142857142857,36,1,0.238095238095,0.142857142857,0.285714285714,0.142857142857
